AAB	ABELAG AVIATION
LAP	TRANSPORTES AEREOS DEL MERCOSUR S.A.
LAQ	LEBANESE AIR TRANSPORT
LAR	LAWRENCE AVIATION, INC. (LAWRENCE, KS)
LAS	LIONS AIR SKYMEDIA AG DBA SKYMEDIA
LAT	LEBANESE AIR TRANSPORT (CHARTER) CO. S.A.L.
LAU	LINEAS AEREAS SURAMERICANAS LTDA.
LAV	ALBA STAR, S.A.
LAY	LAYANG-LAYANG AEROSPACE SDN. BHD.
LAZ	LIZ AVIATION SA
LBA	LOBAYE AIRWAYS
LBB	LIBYAN BLUEBIRD
LBC	ALBANIAN AIRLINES MAK S.H.P.K.
LBD	PROPELLFLY AS
LBF	AIR FORCE OF LIBYA
LBI	ALBISA, S.A. DE C.V.
LBO	ALLIBO AIR CARGO
LBQ	QUEST DIAGNOSTICS (READING, PA)
LBR	AIR BOREALIS
LBT	NOUVEL AIR TUNISIE
LBW	ALBATROS AIRWAYS
LBY	BELLE AIR
LCA	LECONTE AIRLINES (WRANGELL, AK)
LCB	L.C. BUSRE SAC
LCC	THE LANCAIR COMPANY (BEND, OR)
LCD	LINEAS AEREAS AZTECA, S.A. DE C.V.
LCG	LIGNES AERIENNES CONGOLAISES
LCH	LYNCH FLYING SERVICE, INC. (BILLINGS, MT)
LCI	LAO CENTRAL AIRLINES PUBLIC CO., LTD
LCM	LINEAS AEREAS COMERCIALES, S.A. DE C.V.
LCN	LINEAS AEREAS CANEDO (LAC)
LCO	LAN CARGO S.A.
LCR	LIBYAN ARAB COMPANY FOR AIR CARGO
LCS	LEUCHARS
LCT	LINK CONEXION AEREA, S.A. DE C.V.
LCV	SMARTLYNX AIRLINES CABO VERDE
LCY	EXECUJET (UK) LTD
LDA	LAUDA EUROPE LTD.
LDE	LINEAS AEREAS DEL ESTADO
LDG	LEADING EDGE AVIATION LTD.
LDM	LAUDA MOTION GMBH
LDN	AL-DONAS AIRLINES LTD
LDR	AERO LIDER, S.A. DE C.V.
LDS	LINEAS AEREAS DEL SUR S.A.
LDX	SPARFELL LUFTFAHRT GMBH
LEA	UNIJET
LEB	LEBAP
LEC	LINEX
LED	FIELD GROUP AVIATION AS
LEE	LEEMING FTU
LEG	THE ARMY AVIATION HERITAGE FOUNDATION (HAMPTON, GA)
LEJ	FSH AVIATION GMBH
LEL	LEONESA DE AVIACION S.L.
LEM	AVIATSA (AVIACION TECNOLOGICA S.A.)
LEN	LENTINI AVIATION, INC. (PONTIAC, MI)
LEO	SUNAIR AIR OLE S.L.
LEP	LEPL PROJECT LIMITED (AIR COSTA)
LER	LINEA AEREA DE SERVICIO EJECUTIVO REGIONAL, C.A.
LET	AEROLINEAS EJECUTIVAS, S.A.
LEU	LIONS AIR SKYMEDIA AG DBA LIONS AIR
LEV	LEADAIR LTD ISRAEL AIRLINES
LEX	LEXAIR CORPORATE AVIATION
LFA	AEROSIM ACADEMY INC.
LFE	LIFE AIR LINHAS AEREAS S.A.
LFG	LET'S JETT, INC
LFH	ALFA HISTRIA D.O.O.
LFI	NATIONAL AIRWAYS CORPORATION (HELICOPTERS) LTD, SOUTH AFRICA
LFL	EXECUTIVE AIR
LFM	AIRLIFT SERVICE
LFO	DLR DEUTSCHES ZENTRUM FUER LUFT-UND RAUMFAHRT E.V., BRAUNSCHWEIG
LFR	ATLANTIC AIRFREIGHT AVIATION (SAO TOME) LTD
LFT	AEROLIFT COMPANY
LGA	LOGISTIC AIR SDN. BHD. D/B/A LOGISTIC AIR
LGC	LEGACY AIR CO., LTD
LGF	LEGACY AIRWAYS, LLC
LGI	LG INTERNATIONAL CORPORATION
LGL	LUXAIR - SOCIETE LUXEMBOURGEOISE DE NAVIGATION AERIENNE S.A.
LGM	LGM FUFTFAHRTGESELLSCHAFT MBH, HEIDELBERG
LGN	AEROLAGUNA, S.A. DE C.V.
LGT	LONGTAIL AVIATION LTD
LGU	SERVICIOS AEREOS EJECUTIVOS DE LA LAGUNA,S.A. DE C.V.
LGW	LUFTFAHRTGESELLSCHAFT WALTER MBH, DORTMUND
LHA	CHINA CENTRAL LONGHAO AIRLINES CO., LTD
LHB	LIEBHERR-AVIATION GMBH
LHC	LONDON HELICOPTER CHARTERS LTD
LHE	LION HELICOPTERS S.R.O.
LHG	AVIATION LEADER GENERAL AVIATION CO., LTD
LHK	LAHAK
LHN	EXPRESS ONE INTERNATIONAL, INC. (DALLAS, TX)
LHT	LUFTHANSA TECHNIK AG, HAMBURG
LHX	LUFTHANSA CITY AIRLINES GMBH
LIA	LEEWARD ISLANDS AIR TRANSPORT (1974) LTD.
LIB	POLIZEIHUBSCHRAUBERSTAFFEL HAMBURG, HAMBURG
LIC	ASIA SKY LINES
LID	ALIDAUNIA SRL
LIE	AL-DAWOOD AIR LTD
LIF	ROCKY MOUNTAIN HOLDINGS, L.L.C. (PROVO, UT)
LIJ	LINEAS AEREAS SAN JOSE, S.A. DE C.V.
LIL	SC FLY LILI SRL
LIM	LIMITLESS AIRWAYS
LIN	AEROLIMOUSINE LTD
LIO	LIONEL AIR S.A.C.
LIP	LIPICAN AER D.O.O.
LIQ	LID AIR AB
LIR	MINSK AIRCRAFT OVERHAUL PLANT
LIS	LUK AERO AIRLINES
LIT	LEISURE ONE FLY
LIX	LINXAIR D.O.O.
LIZ	LIZ AVIATION
LJA	AIR JAMAHIRIYA COMPANY
LJB	AL JABEER
LJC	REGENCY JET
LJM	RUTAIR LIMITED D/B/A AIR LINK
LJT	TAXIJET
LJY	L.J. ASSOCIATES D/B/A L J AVIATION (LATROBE, PA)
LKA	LUKE AIR
LKD	LAT (LIGNES AERIENNES DU TCHAD)
LKE	LUCKY AIR CO., LTD
LKF	AVIATION ADVISOR, INC. (ANTIOCH,IL)
LKH	SMALL PLANET
LKN	PT NAM AIR
LKP	AMERICAN AVIATION, INC. (SALT LAKE CITY, UT)
LKS	AIRLINK SOLUTIONS, S.L.
LLA	SERVICIO LEO LOPEZ S.A. DE C.V.
LLB	LLOYD AEREO BOLIVIANO, S.A.
LLC	SMALL PLANET AIRLINES JSC
LLD	LLOYD AVIATION, C.A.
LLE	AEROTRANSPORTE CONVALLES
LLG	LUFTLINE GEORGIA
LLI	SMALL PLANET AIRLINES S.R.L.
LLJ	BEIJING MAYBOUNE GENERAL AVIATION CO., LTD.
LLK	LIFE LINE AVIATION
LLL	LAO SKYWAY
LLM	YAMAL AIRLINES, JOINT-STOCK COMPANY
LLN	ALLEN CORPORATION OF AMERICA
LLP	SMALL PLANET AIRLINES SP. Z.O.O.
LLR	ALLIANCE AIR
LLS	SERVICIOS AEREOS ESTRELLA, S.A. DE C.V.
LLT	CLASSIC JET
LLX	SMALL PLANET AIRLINES GMBH
LLY	LET'S FLY
LMA	AEROLIMA, S.A. DE C.V.
LMC	LINEA AEREA MEXICANA DE CARGA, S.A. DE C.V.
LMD	LAMIA
LME	LIGNES MAURITANIENNES AIR EXPRESS
LMG	SOUTH AFRICAN AIR FORCE
LMJ	LUXAVIATION E.A, S.A.
LMK	GRANTEX AVIATION
LML	ALAMIA AIR
LMN	LINEAS AEREAS MONARCA, S.A. DE C.V.
LMO	SKY LIMO CORPORATION (FT. LAUDERDALE FL)
LMP	SERVICIOS AEREOS E INMOBILIARIOS ASI SA DE CV
LMR	LAMRA LTD
LMS	LOMAS HELICOPTERS LTD
LMT	ALMATY AVIATION, OJSC
LMU	ALMASRIA UNIVERSAL AIRLINES
LMX	AERONAVES ESPECIALIZADAS EN TRANSPORTACIONES AEREAS S.A DE C.V.
LMY	AIR ALMATY
LMZ	STARLINE KZ
LNA	LNAIR AIR SERVICES S.L.
LND	DIRECT2 LLC
LNE	AEROLANE - LINEAS AEREAS NACIONALES DEL ECUADOR S.A.
LNG	LOCKHEED MARTIN AERONAUTICS COMPANY (FORT WORTH, TX)
LNI	LION MENTARI AIRLINES, PT.
LNK	SA AIRLINK (PTY) LTD
LNM	LIAONING MERIDIAN JET CO., LTD.
LNQ	LINKSAIR LTD
LNR	COMPANIA LINEAS AEREAS NACIONALES TURISTICAS (LANTUR)
LNT	AEROLINEAS INTERNACIONALES, S.A. DE C.V.
LNX	LONDON EXECUTIVE AVIATION LTD
LOA	LEOAIR HOLDINGS (PTY) LTD
LOC	LOCAIR INC (FORT LAUDERDALE,FL)
LOD	JET24 GMBH
LOF	TRANS STATES AIRLINES, INC. D/B/A TRANS WORLD EXPRESS
LOG	LOGAN AIR LIMITED
LOJ	LOJY AIR
LOK	ALOK AIR CO.
LOL	EASYCHARTER LLC
LON	LEGEND OF THE NILE AVIATION
LOP	LINTON-ON-OUSE FTU
LOR	LEO-AIR CC
LOS	LOSSIEMOUTH FTU
LOT	LOT - POLSKIE LINIE LOTNICZE
LOU	AIR SAINT LOUIS
LOX	FLYRICH LLC
LPA	LEAP
LPC	ALPINE AVIATION (PTY) LTD
LPD	UK ROYAL/HRH DUKE OF YORK
LPE	LAN PERU S.A.
LPL	LEASE-A-PLANE INTERNATIONAL (NORTHBROOK, IL)
LPN	LAOAG INTERNATIONAL AIRLINES
LPR	LOTNICZE POGOTOWIE RATUNKOWE
LPV	AIR ALPS AVIATION GES.M.B.H.
LRB	L R AIRLINES LTD
LRC	AVIANCA COSTA RICA, S.A
LRD	LAREDO AIR (LAREDO, TX)
LRG	SOLUCIONES AEREAS DE LA LAGUNA, S.A. DE C.V.
LRK	SKYJET AVIATION SERVICES LIMITED
LRQ	LUXEMBOURG AIR SERVICES
LRR	LORRAINE AVIATION
LRT	LIBERTY JET MANAGEMENT (RONKONKOMA, NY)
LRW	AL RIDA AIRWAYS
LSA	LEADER S.R.L.
LSC	LOS CEDROS AVIACION
LSG	SKY GOLDEN LACHIN
LSI	MSC AIR S.P.A.
LSJ	AIR LIAISON
LSK	SKYLIGHT JSC
LSL	LEAIR CHARTER SERVICES LTD
LSM	LUXAVIATION SAN MARINO S.R.L.
LSN	VL SERVICIOS NACIONALES, S.A. DE C.V.
LSO	LONE STAR COMMUNICATIONS
LSP	SPECTRUM AVIATION INCORPORATED
LSR	ALSAIR, SOCIETE
LST	LESORTEC, S.A. DE C.V.
LSU	LAUS
LSV	SLOVENIAN MINISTRY OF DEFENCE
LSX	ATLAS EXECUTIVE AIR, S.L.
LSY	LEBANON SKY AVIATION
LTA	LEADERSHIP IN FLIGHT TRAINING, LLC, DBA AS LIFT ACADEMY
LTC	CHARTER JETS
LTD	EXECUTIVE EXPRESS AVIATION D/B/A JA AIR CHARTER (SUGAR GROVE,IL)
LTE	L T E INTERNATIONAL AIRWAYS S.A.
LTF	LET'S FLY S.R.O.
LTG	ABSA AEROLINHAS BRASILEIRAS S/A
LTL	BENIN LITTORAL AIRWAYS
LTR	LUFTTRANSPORT A/S
LTS	FLIGHT INSPECTIONS AND SYSTEMS, CJSC
LTT	BALTIJAS AVIACIJAS SISTEMAS
LTU	LTU LUFTTRANSPORTUNTERNEHMEN GMBH
LTY	LIBERTY AIR
LTZ	LOUTZAVIA CHARTERS CC
LUA	LUMINAIR GMBH
LUC	ALBINATI AERONAUTICS SA
LUK	GLOBAL SKY
LUT	LUFT CARGO (PTY) LTD
LUV	RC AIRLINES COMPANY LIMITED
LUX	LUKS AVIATION SRL
LUZ	LUZAIR
LVA	HAWAIIAN GLOBETROTTER
LVB	IRS AIRLINES
LVG	LIVINGSTON S.P.A.
LVL	FLY LEVEL
LVN	ALIVEN S.R.L.
LVR	AVIAVILSA
LVS	INSIGNIA AVIACION, S.A. DE C.V.
LVT	ELEVATE JET LLC
LVU	LEVU TRANSPORTE AEREO E LOGISTICA DE CARGAS LTDA
LVW	PACIFIC SKY AVIATION INC
LWA	LIBYAN WINGS
LWC	TRANSPORTES AEREOS DE ACAPULCO, S.A. DE C.V.
LWG	LUXWING
LWI	LUMIWINGS
LWL	LOWLEVEL, LDA
LXA	LUXAVIATION S.A.
LXC	CAE AVIATION
LXE	AMELIA EXECUTIVE
LXF	LYNX AIR INTERNATIONAL (FORT LAUDERDALE, FL)
LXG	LUXAVIATION GERMANY GMBH, BUEREN
LXJ	FLEXJET LLC (RICHARDON, TX)
LXM	LUXAVIATION MALTA
LXP	TRANSPORTE AEREO S.A. (LAN EXPRESS)
LXR	SKY PRIME MALTA
LXS	LYNX SERVICIOS AEREOS S.A DE C.V
LXW	LANEXANG
LXX	LIBYAN EXPRESS FOR AIR TRANSPORT
LYA	LIBYAN AIR AMBULANCE
LYB	LYNDEN AIR CARGO
LYC	LYNDEN AIR CARGO, LLC
LYD	LYDD AIR LTD
LYF	LITHUANIAN AIR FORCE SAFETY DEPARTMENT
LYH	YANKEE LIMA HELICOPTERES
LYM	KEY LIME AIR (ENGLEWOOD, CO)
LYN	AIR KYRGYZSTAN
LYW	LIBYAN AIRWAYS
LYX	SMARTLYNX AIRLINES MALTA
LZA	LANZA AIR, S.L.
LZB	BULGARIA AIR
LZF	LEASE FLY, S.A.
LZP	AIR BAN
LZR	AIR LAZUR - GENERAL AVIATION LTD
MAA	AEROTRANSPORTES MAS DE CARGA, S.A. DE C.V.
MAB	AIRBORNE LIDAR MAPPING A/S
MAC	AIR ARABIA MAROC
MAD	MALONE AIRCHARTER, INC
MAE	MALI AIR LUFTVERKEHR GESELLSCHAFT M.B.H.
MAF	AEROLINEAS MAS, S.A.
MAG	NATO ALLIANCE GROUND SURVEILLANCE (AGS)
MAH	MALEV - HUNGARIAN AIRLINES
MAJ	MITSUBISHI AIRCRAFT CORPORATION
MAK	MAKLEE AIR
MAL	MORNINGSTAR AIR INC.
MAN	MANNION AIR CHARTER, INC. (YPSILANTI, MI)
MAO	MAYO CLINIC (ROCHESTER, MN)
MAP	ALTAIR JETS, C.A.
MAQ	MAC AVIATION, S.L.
MAR	AIR MEDITERRANEAN S.A.
MAS	MALAYSIA AIRLINES BERHAD
MAT	MAINE AVIATION AIRCRAFT CHARTER LLC (PORTLAND, ME)
MAU	AIR MAURITIUS LIMITED
MAV	MANTA AVIATION PVT. LTD.
MAW	MUSTIQUE AIRWAYS
MAX	MAX-AVIATION
MAY	MALTA AIR
MAZ	MINES AIR SERVICES ZAMBIA LIMITED
MBA	AVAG AIR GMBH FUR LUFTFAHRT
MBB	AIR MANAS
MBC	AIRJET EXPLORACAO AEREA DE CARGA, PASSAGEIROS E CORREIOS, LDA
MBE	MARTIN-BAKER LTD.
MBF	MABE FLIGHTS, S.L.
MBG	ZEPHYR AVIATION LTD
MBK	CHRONO JET INC
MBL	FIRST CITY AIR PLC
MBN	ZAMBIAN AIRWAYS LIMITED
MBO	MB AERO
MBR	BRAZILIAN NAVY AVIATION
MBS	MBACHI AIR/GROUND SERVICES LIMITED
MBT	PROVINCE OF MANITOBA, AIR SERVICES BRANCH
MBU	MARABU AIRLINES OU
MCA	MEDITERRANEAN COASTAL AIRLINES LTD.
MCB	BEAVER AIR SERVICES L.P.
MCC	MCC AVIATION (PTY) LTD
MCD	AIR MEDICAL LTD
MCE	MARSHALL AEROSPACE
MCG	SOS HELIKOPTERN GOTLAND AB
MCH	MATCH JETS, S.A. DE C.V.
MCJ	MACAIR JET S.A.
MCK	AEROWAYS
MCL	MEDICAL AVIATION SERVICES LTD
MCM	HELI-AIR-MONACO
MCN	MAC DAN AVIATION CORPORATION (FAIRFIELD, NJ)
MCO	AEROLINEAS MARCOS, S.A. DE C.V.
MCP	MARCOPOLO AIRWAYS
MCS	MCS AEROCARGA DE MEXICO S.A. DE C.V.
MCT	TRANSPORTACION AEREA DEL MAR DE CORTES, S.A. DE C.V.
MCV	MTC AVIACION, S.A. DE C.V.
MCW	AVIATION MACHINE WORKS - CENTRAFRIQUE (AMWCENTRAFRIQUE)
MCX	CARGO EXPRESS
MCY	AMBULANCE AIR AFRICA
MDA	MANDARIN AIRLINES
MDB	VERTICAL AVIATION, LLC
MDC	AIRMEDIC
MDE	MAURITANIENNE DE TRANSPORT AERIEN
MDF	SWIFTAIR HELLAS S.A.
MDG	AIR MADAGASCAR, SOCIETE NATIONALE MALGACHE DE TRANSPORTS AERIENS
MDH	MADINA AIR
MDI	IAS MEDICAL LTD
MDJ	JETRAN AIR
MDK	MADIKWE CHARTER CC
MDL	MANDALA AIRLINES, PT.
MDM	MEDAVIA COMPANY LTD
MDN	MCDAN AVIATION SAN MARINO S.R.L.
MDO	MEL AIR LIMITED
MDP	MEDALLION AIR
MDR	COMPANIA MEXICANA DE AEROPLANOS, S.A.
MDS	MCNEELY CHARTER SERVICES, INC. (WEST MEMPHIS, AR)
MDT	SUNDT AIR A/S
MDV	MOLDAVIAN AIRLINES
MDW	FLYAWESOME LIMITED
MDX	MEDAIR CHARTER (PTY) LTD
MEA	MIDDLE EAST AIRLINES - AIRLIBAN
MEC	MERCURY AIRCOURIER SERVICE (SALT LAKE CITY, UT)
MEE	ELIMEDITERRANEA S.P.A.
MEF	AIR MERIDIAN LIMITED
MEG	MEGA GLOBAL AIR SERVICES (MALDIVES) PRIVATE LIMITED
MEI	MERLIN AIRWAYS, INC. (BILLINGS, MT)
MEJ	AIRMED INTERNATIONAL LLC (BIRMINGHAM,AL)
MEK	MED-TRANS OF FLORIDA, INC. (TAMPA, FL)
MEL	MEGA LINHAS AEREAS
MEM	MERIDIAN LTD
MEN	MAE AIRCRAFT MANAGEMENT
MER	METHOW AVIATION, INC. (EAST WENATCHEE, WA)
MES	MESABA AVIATION (GRAND RAPIDS, MN)
MET	METEOROLOGICAL RESEARCH FLIGHT
MEV	MED-VIEW AIRLINES (NIGERIA) LIMITED
MEY	JUSTAIR SCANDINAVIA AB
MFA	MARTYN FIDDLER ASSOCIATES
MFB	MOUNTAIN FLYERS 80 LTD
MFC	CANLINK AVIATION INC.
MFD	MONARCH AIR GROUP, LLC (FT.LAUDERDALE,FL)
MFG	MID AFRICA AVIATION
MFJ	SOLENTA AVIATION MOZAMBIQUE SA
MFL	AERO MCFLY, S.A. DE C.V.
MFP	MAINE FOREST SERVICE
MFR	MIDLINE AIR FREIGHT (OWENSBORO, KY)
MFS	MILLER FLYING SERVICES, INC. (GRAND ISLAND, NE)
MFT	MULTIFLIGHT LTD
MFX	MY FREIGHTER
MFY	MEDIFLY, S.A. DE C.V.
MGA	M G AVIACION S.L.
MGB	COULSON FLYING SERVICES LIMITED
MGC	AIR CARGO MONGOLIA
MGD	MIAMI AIR LEASE, INC. (MIAMI, FL)
MGE	AERO-MICRONESIA, INC. D/B/A ASIA PACIFIC AIRLINES (DANVILLE, CA)
MGF	TRTO AGENCY LTD.
MGG	ELMAGAL AVIATION SERVICES CO. LTD
MGH	MAVI GOK HAVACILIK A.S
MGI	MARGHI AIR LIMITED
MGK	MEGA
MGL	MONGOLIAN AIRLINES
MGM	TRANSPORTE AEREO MGM, S.A DE C.V.
MGO	PUNTO FA S.L.
MGP	ARIRANG AVIATION LIMITED
MGR	MAGNA AIR
MGS	AEROMAGAR, S.A. DE C.V.
MGT	AIR ATTACK TECHNOLOGIES
MGW	MONGOLIAN AIRWAYS CARGO
MGX	MONTENEGRO AIRLINES
MGY	MADAGASCAR AIRLINES
MHA	MOUNTAIN HIGH AVIATION (WALLA WALLA, WA)
MHC	AERO JOMACHA, S.A. DE C.V.
MHD	YAS AIR KISH
MHF	MARITIME HELICOPTERS (HOMER, AK)
MHH	MOUNTHILL AVIATION RESOURCE SERVICES LTD.
MHK	AL-NASER AIRLINES
MHL	MERIDIAN AIRLINES LTD
MHN	MANHATTAN AIR LIMITED
MHO	MOKULELE AIRLINES (KAILUA'KONA,HI)
MHQ	SKARGARDSHAVETS HELIKOPTERJANST AB (SHT)
MHR	AIR SHIRAZ
MHS	AIR MEMPHIS
MHU	AIR MEMPHIS
MHV	MHS AVIATION GMBH, GRUENWALD
MIA	MAURIA, SOCIETE MAURITANIENNE D'AVIATION
MIC	MINT LINEAS AEREAS, S.A.
MID	WATERS AERO-MARINE, INC. D/B/A PENOBSCOT ISLAND AIR (SOUTH THOMASTON, ME)
MIE	AERO PREMIER DE MEXICO, S.A. DE C.V.
MIF	MIRAS, AVIACOMPANY
MIG	RUSSIAN AIRCRAFT CORPORATION -MIG, FEDERAL STATE UNITARY ENTERPRISE
MIH	MASSY AIRLINES
MIM	MILLESIME AVIATION
MIN	MINRES AIR
MIR	SERVICIOS AEREOS MIRA, S.A. DE C.V.
MIS	BIRD IN A BIPLANE LTD
MIT	FLIGHT LINE, INC. (JACKSON, MS)
MIX	MIDEX AIRLINES
MIZ	DESARROLLO MILAZ, S.A. DE C.V.
MJA	ALMAJARA AVIATION
MJC	MANDARIN AIR CO., LTD
MJE	EMPIRE AVIATION GROUP
MJF	MJET GMBH
MJI	MAJESTIC JET, INC. (FT.LAUDERDALE, FL)
MJJ	MJETS LIMITED
MJL	JET LINE INTERNATIONAL LTD
MJN	ROYAL AIR FORCE OF OMAN (AIR TRANSPORT)
MJP	AIR MAJORO S.A.
MJR	MIDAMERICA JET, INC. (OWENSBORO, KY)
MJS	AIRCHARTERS WORLDWIDE INC. (FT.LAUDERDALE, FL)
MJT	MADJET-TRANSPORTES AEREOS, S.A.
MKA	MOKA AIRWAYS
MKB	MACK AIR
MKD	MAT AIRWAYS
MKE	MEGANTARA AIR, PT.
MKG	AIR MEKONG (MEKONG AVIATION JOINT STOCK COMPANY)
MKH	AIR MARRAKECH SERVICE
MKK	MACAU SKYLINK INTERNATIONAL CARGO AIRLINES CO., LTD.
MKL	MCCALL AVIATION, INC. (MCCALL, ID)
MKO	MARKOSS AVIATION LTD
MKR	LANMEI AIRLINES (CAMBODIA) CO., LTD
MKT	PT. PERSADA PERKASA AIRNESIA
MKU	ISLAND AIR (HONOLULU,HI)
MKY	MONKY AEROTAXIS, S.A.
MLA	FORTY-MILE AIR (TOK, AK)
MLB	MANAF INTERNATIONAL AIRWAYS
MLC	MALILA AIRLIFT
MLD	AIR MOLDOVA
MLE	MOLDAEROSERVICE
MLF	AMAL AIRLINES
MLH	AVION EXPRESS MALTA LTD
MLI	MAIS LINHAS AEREAS S.A.
MLK	MILLENNIUM AIR
MLL	AEROCLUB DE MALLORCA
MLM	COMLUX (MALTA) LTD
MLN	CORPORATE AIR, LLC (WEST MIFFLIN, PA)
MLO	SERVICIOS AEREOS MILENIO, S.A. DE C.V.
MLR	MIHIN LANKA (PVT) LTD
MLS	MALL AIRWAYS, INC. (ALBANY, NY)
MLT	MALETH AERO AOC LTD
MLU	ZRACNO PRISTANISTE MALI LOSINJ D.O.O.
MLV	MULTISERVICIOS AEREOS DEL VALLE, S.A.DE C.V.
MLW	MEELADAIR S.A.
MLX	MALAWI EXPRESS LIMITED
MMA	MYANMAR AIRWAYS INTERNATIONAL CO. LTD
MMC	AERMARCHE
MMD	AIR ALSIE A/S
MME	MULTIMEDIA ENTERTAINMENT GROUP AIR (PTY) LTD T/A MEGA
MMF	NATO SUPPORT AND PROCUREMENT AGENCY
MMG	AEREO RUTA MAYA
MMH	MCMAHON HELICOPTER SERVICES, INC.
MMI	MARINA MILITARE ITALIANA
MMJ	MACAU JET INTERNATIONAL
MML	HUNNU AIR
MMM	MERIDIAN AIR COMPANY
MMN	PRO AIRWAYS, LLC (PLYMOUTH,MA)
MMO	MALTA MEDAIR
MMR	MUSRATA AIR TRANSPORT
MMS	SAAD (A320) LTD
MMT	SAM INTERCONTINENTAL GROUP S.A.
MMU	ROADRUNAIR AVIATION
MMX	AIRMAX S.A.
MMY	IASCO FLIGHT TRAINING (REDDING,CA)
MMZ	EUROATLANTIC AIRWAYS
MNA	MERPATI NUSANTARA AIRLINES, PT.
MNB	MNG HAVAYOLLARI VE TASIMACILIK A.S.
MND	CORPORATEJETS XXI S.A.
MNE	TOMONTENEGRO
MNG	AERO MONGOLIA
MNH	MONARCH AIRLINES (GRAND JUNCTION, CO)
MNJ	MENAJET
MNL	MOUNTAIN LION AVIATION
MNM	MANASIK AVIATION COMPANY
MNO	TULCA (PTY) LTD
MNP	SPIRIT OF MANILA AIRLINES CORP.
MNS	MEDSKY AIRWAYS
MNT	MONTSERRAT AIRWAYS LTD (T/A FLYMONTSERRAT)
MNU	ELITE AIRWAYS (PORTLAND, ME)
MNV	MAURITANIENNE AERIENNE ET NAVALE
MNX	MANX AIRLINES LTD.
MNY	MOONEY AIRCRAFT CORPORATION (KERRVILLE, TX)
MNZ	MURMANSK AIRCOMPANY CO. LTD
MOA	MOSCOW AIRLINES, JSC
MOC	AERO MARAT SA DE CV
MOD	AEROCLUBE DE COIMBRA
MOG	BAE SYSTEMS (CORPORATE AIR TRAVEL) LTD
MOH	TIGERFLY
MOL	TAXI AEREO DE MORELIA S.A DE C.V
MOM	AIR COMPANY ALTAIR LIMITED LIABILITY COMPANY
MON	MONARCH AIRLINES LTD.
MOP	APA - AEROPUBLICITARIA DE ANGOLA, LDA
MOR	AEROLINEAS DE MORELIA, S.A. DE C.V.
MOS	SWEDISH MOOSE AIRLINES AB
MOT	MOTAHIDA AVIATION
MOV	VIM AIRLINES
MOW	MOHAWK AIRLINES (ONEONTA, NY)
MOZ	SALZBURGJETAVIATION GMBH
MPA	MID-PACIFIC AIRLINES, INC. (HONOLULU, HI)
MPD	AIR COMET
MPE	CANADIAN NORTH INC.
MPF	MAP EXECUTIVE FLIGHT SERVICE GMBH
MPH	MARTINAIR HOLLAND N.V.
MPI	MOSPHIL AERO INC.
MPJ	MAP-MANAGEMENT AND PLANUNG GMBH
MPO	TRANSPORTES AEREOS AMPARO, S.A. DE C.V.
MPR	EMPIRE AVIATION SERVICES LIMITED
MPX	AEROMEXPRESS, S.A. DE C.V.
MQT	AIR ITM
MRA	MARTINAIRE (ADDISON, TX)
MRB	CENTRE PANKH KAZAKHSTAN
MRC	MARTIN COMPANIES (KILGORE, TX)
MRD	MERIDIAN AIR CARGO, INC. (MERIDIAN, MS)
MRE	NAMIBIA COMMERCIAL AVIATION (PTY) LTD
MRF	MAURITANIENNE AIR FRET
MRG	MANAG'AIR
MRH	MARHAM FTU
MRJ	MERAJ AIRLINES
MRK	MARKAIR INC. (ANCHORAGE, AK)
MRM	MURMANSK AVIATION ENTERPRISE, LLC
MRN	MISSIONS GOUVERNEMENTALES FRANCAISES
MRO	MORRISON FLYING SERVICE, INC. (HELENA, MT)
MRP	ABAS
MRR	WEST ISLE AIR, INC. (ANACORTES, WA)
MRS	MARS AVIA CJSC
MRT	AIR MAURITANIE
MRV	LLC XENA
MRW	MARS RK LTD
MRX	HERMEN'S MARKAIR EXPRESS (ST. MARY'S, AK)
MRY	AIR MARINE
MRZ	MEDICAL AIR RESCUE SERVICES (MARS)
MSA	POSTE AIR CARGO S.R.L.
MSB	AIR STORK
MSC	AIR CAIRO
MSD	ATLANTIC COAST AIRCRAFT SERVICES (READING, PA)
MSE	EGYPTAIR EXPRESS
MSF	MINSHENG INTERNATIONAL JET CO., LTD.
MSG	SAR - SERVICO AEREO REGIONAL
MSH	U S MARSHALS SERVICE, U.S. DEPARTMENT OF JUSTICE (WASHINGTON, DC)
MSI	MOTOR SICH
MSJ	MAGNUM AIR (SKY JET), INC.
MSK	MAK.KG AIRLINES
MSL	MARSLAND AVIATION
MSM	AEROMAS
MSN	MILENIUM AIR SERVICIOS AEREOS INTEGRADOS, S.A. DE C.V.
MSO	AEROLINEAS MESOAMERICANAS, S.A. DE C.V.
MSP	SERVICIO DE VIGILANCIA AEREA DEL MINISTERIO DE SEGURIDAD PUBLICA
MSQ	META - MESQUITA TRANSPORTES AEREOS LTDA
MSR	EGYPT AIR
MSS	GLOBAL AVIATION SARL
MST	MASTER TOP LINHAS AEREAS LTDA.
MSU	MGC AVIATION TA MALUTI SKY
MSV	AERO-KAMOV, AFFILIATED COMPANY
MSX	EGYPTAIR CARGO
MSY	MASSEY UNIVERSITY SCHOOL OF AVIATION
MTA	MITCHELL AERO, INC. D/B/A GAK/MITCHELL AERO, INC. (MILWAUKEE, WI)
